GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 "01011","Bullock, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1809,2165,2389,2755,3195,3355,3460,4065,4451,4781,5322,5484,6156,6314,7050,7013,7602,8159,8035,8553,9650,10483,11378,12304,12645,12939,13667,13611,14796,15620,15950,15684,16756,17498,17637,18114,18371,20213,21043,23224,23818,23445,23930,24782,24662,23830,24995,25333,25784,26147,27192,30429,33267
 "01013","Butler, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",45831,48581,51844,59467,67629,73597,82234,90970,97956,116509,130544,140843,163167,163996,174967,185862,192663,203877,214472,224452,236673,247160,260924,279983,296227,316320,339940,353556,358354,380442,394037,404653,444131,454011,470227,493366,509732,524452,567077,585262,573592,599059,601973,620399,641986,667930,694772,682904,700952,705821,749627,783725,869601
 "01013","Butler, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",22726,21987,21846,21530,21237,21160,21169,21351,20872,20911,21204,21789,22186,22399,22384,22443,22427,22340,22405,22207,22035,21886,21755,21794,21813,21851,21824,21863,21840,21718,21605,21325,21139,20803,20833,20870,20830,20815,20894,20949,20867,20922,20810,20568,20212,20139,19932,19760,19588,19312,19097,19045,18884
 "01013","Butler, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2017,2210,2373,2762,3184,3478,3885,4261,4693,5572,6157,6464,7355,7322,7817,8282,8591,9126,9573,10107,10741,11293,11994,12847,13580,14476,15576,16171,16408,17517,18238,18976,21010,21824,22571,23640,24471,25196,27141,27937,27488,28633,28927,30163,31763,33166,34857,34560,35785,36548,39254,41151,46050
 "01015","Calhoun, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",304416,313931,353608,396486,433646,485455,557197,624434,702104,776570,849706,972898,1069632,1144879,1219116,1341222,1403278,1470316,1525463,1607503,1703924,1759063,1851118,1951649,2005237,2073014,2183521,2248460,2324902,2460397,2467100,2453535,2576061,2689343,2832888,3016269,3156868,3308983,3513133,3634409,3578268,3672478,3743496,3784756,3734209,3818636,3957946,3994209,4070579,4162915,4301429,4597862,4942877
 "01015","Calhoun, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",102946,103125,103622,103846,105027,105917,107005,112768,112801,116474,116742,120016,120814,122109,121249,121739,118644,117700,118092,117260,116381,116118,115247,115804,116324,116161,116790,116684,117254,117179,114910,111081,111266,111625,112705,113462,114477,115388,116211,117274,118363,118493,118132,117880,117465,117209,117048,116810,116796,116622,116669,116266,115972
 "01015","Calhoun, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2957,3044,3412,3818,4129,4583,5207,5537,6224,6667,7278,8106,8854,9376,10055,11017,11828,12492,12918,13709,14641,15149,16062,16853,17238,17846,18696,19270,19828,20997,21470,22088,23152,24093,25135,26584,27576,28677,30231,30991,30231,30993,31689,32107,31790,32580,33815,34194,34852,35696,36869,39546,42621
 "01017","Chambers, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",94604,102259,110374,126183,143698,158303,166456,192387,209298,230381,250513,276893,299215,313565,346358,365527,384607,408046,440510,463182,501645,506890,508670,543420,566828,591629,618279,639527,670679,700514,725259,740988,788330,799626,815874,835666,856389,894976,929019,905060,901217,937130,979220,999331,1009866,1028798,1075760,1102940,1099211,1141740,1175979,1258762,1372246
 "01017","Chambers, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",37814,36274,36280,36087,36961,37534,37537,37943,38368,38734,39303,39243,39382,39336,39258,39073,38614,37982,37753,37385,37208,36884,36913,37045,37026,37066,37179,36907,36698,36808,36527,36571,36274,35965,35680,35463,35279,34945,34847,34563,34384,34151,34243,34499,34721,34740,34953,34881,35038,35071,34914,34678,34541
 "01017","Chambers, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2502,2819,3042,3497,3888,4218,4434,5070,5455,5948,6374,7056,7598,7971,8823,9355,9960,10743,11668,12390,13482,13743,13780,14669,15309,15962,16630,17328,18276,19032,19855,20262,21733,22233,22866,23564,24275,25611,26660,26186,26210,27441,28596,28967,29085,29614,30777,31620,31372,32555,33682,36299,39728
 "01019","Cherokee, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",38070,39147,44564,49958,59261,63067,67360,80986,84450,98355,115086,121432,144060,149894,154838,165502,171174,180263,196016,220807,234615,244704,266441,284283,299976,317097,343026,370331,394879,410621,423398,441734,475148,488363,514729,555599,580943,616177,675275,710079,704448,731937,750358,776498,807335,828813,874940,866840,886730,926310,946073,983743,1092799
 "01019","Cherokee, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",15904,15771,16522,16860,17242,17661,18068,18556,18435,18590,18644,18876,19310,19525,19136,18989,18890,18985,19229,19517,19467,19643,19876,20181,20712,21214,21871,22387,22911,23351,23605,24006,24182,24403,24591,24887,25031,25466,25553,25636,25854,25936,25831,25671,25602,25355,25071,24973,24899,24978,25061,24958,24996
 "01019","Cherokee, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2394,2482,2697,2963,3437,3571,3728,4364,4581,5291,6173,6433,7460,7677,8091,8716,9062,9495,10194,11314,12052,12458,13405,14087,14483,14948,15684,16542,17235,17585,17937,18401,19649,20012,20932,22325,23209,24196,26426,27699,27247,28221,29049,30248,31534,32688,34898,34711,35613,37085,37751,39416,43719
 "01021","Chilton, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",59191,62041,71831,80563,93482,99834,113581,131182,146374,168496,190092,211249,234122,251227,276848,303743,319850,335389,352915,376354,401230,425376,449756,478388,509899,548054,595375,626454,678711,703069,753960,780697,841751,865097,903819,966614,1028584,1101420,1172674,1192330,1182449,1203944,1260050,1288960,1302152,1336464,1401864,1429204,1487586,1542726,1625231,1735704,1890118
 "01021","Chilton, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",26594,25222,25630,26442,27241,27932,28558,29051,29317,29926,30472,30641,30702,30361,30734,31080,31560,31924,31994,32310,32365,32550,33200,33503,34072,34739,35537,36467,37302,38069,38862,39897,40197,40683,41079,41534,41946,42318,42881,43239,43484,43661,43762,43715,43823,44021,44026,44251,44546,44608,44902,45024,45274
 "01021","Chilton, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2226,2460,2803,3047,3432,3574,3977,4516,4993,5630,6238,6894,7626,8275,9008,9773,10135,10506,11031,11648,12397,13068,13547,14279,14965,15776,16754,17179,18195,18468,19401,19568,20941,21264,22002,23273,24522,26027,27347,27575,27193,27575,28793,29486,29714,30360,31842,32298,33394,34584,36195,38551,41748
 "01023","Choctaw, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",29489,32023,34237,37982,42464,46405,53263,60890,65637,74309,84730,92972,103264,112709,126134,137919,149210,166244,165519,173460,189376,199471,216631,231384,239357,259763,268434,270131,282363,296123,307905,308373,311981,314837,319993,323611,319997,333280,341153,347079,355916,387150,400445,429756,454965,463505,466573,465612,474588,489478,493492,522594,554469
 "01023","Choctaw, AL",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",18432,16577,16516,16689,16996,16819,17226,17448,17329,16931,16909,16812,16672,16367,16594,16618,16710,16727,16557,16477,16166,15994,16044,16206,16228,16215,16195,16232,16162,16151,15931,15875,15677,15367,15199,14930,14545,14431,14216,14114,13976,13853,13637,13616,13473,13416,13352,13183,13077,12984,12768,12619,12533
 "01023","Choctaw, AL",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",1600,1932,2073,2276,2498,2759,3092,3490,3788,4389,5011,5530,6194,6886,7601,8299,8929,9939,9997,10527,11714,12472,13502,14278,14750,16020,16575,16642,17471,18335,19327,19425,19901,20488,21054,21675,22000,23095,23998,24591,25466,27947,29365,31563,33769,34549,34944,35319,36292,37699,38651,41413,44241
 "01025","Clarke, AL",5,CAINC1,1,"...","Personal income (thousands of dollars) ","Thousands of dollars",60483,64337,69081,76145,85004,95472,105032,124554,143225,165132,177127,193921,206090,215060,231823,250189,265909,275802,287704,306690,336648,363275,380792,401030,417264,436402,465378,499252,515268,525218,544578,563579,550442,552882,578238,616699,638198,668885,703139,710481,711472,737028,747607,752619,786252,803132,829491,837091,834683,848566,875506,962622,1029481
