yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
166462021,16646,2021,PA0380300,PA0380300,,N,N,,I,PALMYRA,PALMYRA PD,Palmyra,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,7549,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,1,1,2,1.5,1.6,2013-01-01,2021-07-02,2021-07-01,2021-07-01,2021-07-01,2021-07-01,N,LEBANON,"Lebanon, PA",Y,Y,Y
166622021,16662,2021,PA0382200,PA0382200,,N,N,,I,SOUTH LONDONDERRY TOWNSH,SOUTH LONDONDERRY TWP PD CAMPBELLTOWN,South Londonderry Township,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,8689,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,0,8,1,0,1,1.0,1.0,2013-01-01,2021-01-01,,,,,N,LEBANON,"Lebanon, PA",Y,Y,Y
167892021,16789,2021,PA0431000,PA0431000,,N,N,,I,SANDY LAKE,SANDY LAKE PD,Sandy Lake,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,618,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2013-01-01,2021-10-01,,,,,N,MERCER,"Youngstown-Warren-Boardman, OH-PA",Y,Y,Y
167972021,16797,2021,PA0432100,PA0432100,,N,N,,I,JAMESTOWN,JAMESTOWN PD,Jamestown,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,563,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,0,0,0,0,0,0,0.0,0.0,2013-01-01,2020-08-01,2020-08-01,2022-03-01,2021-03-01,2021-08-01,N,MERCER,"Youngstown-Warren-Boardman, OH-PA",Y,Y,Y
171122021,17112,2021,PA0600300,PA0600300,,N,N,,I,MIFFLINBURG,MIFFLINBURG PD,Mifflinburg,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,3438,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,2,1,3,2.0,2.3,2013-01-01,2021-10-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,UNION,Not Specified,Y,Y,Y
171492021,17149,2021,PA0630900,PA0630900,,N,N,,I,MCDONALD BOROUGH,MC DONALD PD,McDonald Borough,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,2030,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2013-01-01,2021-10-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,"ALLEGHENY, WASHINGTON","Pittsburgh, PA",Y,Y,Y
173122021,17312,2021,PAPSP9400,PA067SP00,,N,N,,I,SP: YORK COUNTY,SP YORK,State Police:,York County,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,78434,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,N,,,,,,,,,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,YORK,"York-Hanover, PA",Y,Y,Y
173762021,17376,2021,PAPEP0000,PAPEP0000,,N,N,,I,PHILADELPHIA,PHILADELPHIA POLICE DEPARTMENT POLICE ADMIN,Philadelphia,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,City,1604950,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,3,1A,"Cities 1,000,000 or over",1,"All cities 250,000 or over",Y,3,,N,,,,,,,,,2013-01-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,2021-04-01,N,PHILADELPHIA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Y,Y,Y
228052021,22805,2021,PAPSP0200,PAPSP0200,,N,N,,I,"STATE POLICE, AVONDALE","STATE POLICE, AVONDALE","State Police, Avondale",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,23,9E,MSA State Police,9,MSA Counties,N,23,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,CHESTER,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,Y
228072021,22807,2021,PAPSP0400,PAPSP0400,,N,N,,I,"STATE POLICE, BEDFORD","STATE POLICE, BEDFORD","State Police, Bedford",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,17,8E,Non-MSA State Police,8,Non-MSA Counties,N,17,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,BEDFORD,Not Specified,N,Y,Y
228092021,22809,2021,PAPSP1800,PAPSP1800,,N,N,,I,"STATE POLICE, NEWPORT","STATE POLICE, NEWPORT","State Police, Newport",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,23,9E,MSA State Police,9,MSA Counties,N,23,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,PERRY,"Harrisburg-Carlisle, PA",N,Y,Y
228122021,22812,2021,PAPSP2500,PAPSP2500,,N,N,,I,"STATE POLICE, ERIE","STATE POLICE, ERIE","State Police, Erie",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,23,9E,MSA State Police,9,MSA Counties,N,23,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,ERIE,"Erie, PA",N,Y,Y
228132021,22813,2021,PAPSP2700,PAPSP2700,,N,N,,I,"STATE POLICE, EMBREEVILLE/COATESVILLE","STATE POLICE, EMBREEVILLE/COATESVILLE","State Police, Embreeville/Coatesville",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,23,9E,MSA State Police,9,MSA Counties,N,23,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,CHESTER,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,Y
228142021,22814,2021,PAPSP3000,PAPSP3000,,N,N,,I,"STATE POLICE, FRANKLIN","STATE POLICE, FRANKLIN","State Police, Franklin",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,17,8E,Non-MSA State Police,8,Non-MSA Counties,N,17,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,VENANGO,Not Specified,N,Y,Y
228152021,22815,2021,PAPSP4700,PAPSP4700,,N,N,,I,"STATE POLICE, LANCASTER","STATE POLICE, LANCASTER","State Police, Lancaster",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,23,9E,MSA State Police,9,MSA Counties,N,23,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,LANCASTER,"Lancaster, PA",N,Y,Y
228162021,22816,2021,PAPSP5600,PAPSP5600,,N,N,,I,"STATE POLICE, MEDIA","STATE POLICE, MEDIA","State Police, Media",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,23,9E,MSA State Police,9,MSA Counties,N,23,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,DELAWARE,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",N,Y,Y
257732021,25773,2021,PA0281400,PA0281400,,N,N,,I,FRANKLIN COUNTY DRUG TF,,Franklin County Drug Task Force,,A,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,Other,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,N,0,0,0,0,0,0,0,0,2013-01-01,2015-07-01,2015-07-01,,2021-03-01,2021-03-01,N,FRANKLIN,"Chambersburg-Waynesboro, PA",Y,Y,Y
260182021,26018,2021,PAPSP7200,PAPSP7200,,N,N,,I,"STATE POLICE, READING",,"State Police, Reading",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,BERKS,"Reading, PA",N,Y,Y
262462021,26246,2021,PAPSP5300,PAPSP5300,,N,N,,I,"STATE POLICE, MANSFIELD",,"State Police, Mansfield",,L,42,Pennsylvania,PA,PA,2,Middle Atlantic,1,Northeast,Region I,State Police,0,23388,PAUCR0001,Pennsylvania State Police Bureau of Research and Development,N,17,8E,Non-MSA State Police,8,Non-MSA Counties,N,17,,N,,,,,,,0,0,2013-01-01,2021-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,TIOGA,Not Specified,N,Y,Y
