yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
181532021,18153,2021,SD0630100,SD0630100,,N,N,,I,BERESFORD,BERESFORD PD,Beresford,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,2046,23391,SDUCR0001,South Dakota Statistical Analysis Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,2.4,2.4,1991-01-01,1999-10-01,1999-10-01,2015-04-01,2022-03-01,2015-04-01,N,"LINCOLN, UNION","Sioux Falls, SD",Y,Y,Y
181542021,18154,2021,SD0630200,SD0630200,,N,N,,I,ELK POINT,ELK POINT PD,Elk Point,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,1864,23391,SDUCR0001,South Dakota Statistical Analysis Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,5,0,5,0,0,0,2.7,2.7,1991-01-01,1999-10-01,1999-10-01,2019-02-01,2022-01-01,2019-02-01,N,UNION,"Sioux City, IA-NE-SD",Y,Y,Y
181552021,18155,2021,SD0630300,SD0630300,,N,N,,I,ALCESTER,ALCESTER PD,Alcester,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,750,23391,SDUCR0001,South Dakota Statistical Analysis Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,2.7,2.7,1991-01-01,1999-10-01,1999-10-01,2015-03-01,2022-02-01,2015-03-01,N,UNION,"Sioux City, IA-NE-SD",Y,Y,Y
181562021,18156,2021,SD0630400,SD0630400,,N,N,,I,JEFFERSON,JEFFERSON PD,Jefferson,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,512,23391,SDUCR0001,South Dakota Statistical Analysis Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,3.9,3.9,1991-01-01,2003-01-01,2003-01-01,2016-02-01,2022-02-01,2016-02-01,N,UNION,"Sioux City, IA-NE-SD",Y,Y,Y
181572021,18157,2021,SD0630500,SD0630500,,N,N,,I,NORTH SIOUX CITY,NORTH SIOUX CITY PD,North Sioux City,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,2997,23391,SDUCR0001,South Dakota Statistical Analysis Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,7,0,7,1,1,2,2.7,3.0,1991-01-01,2000-03-01,2000-03-01,2015-03-01,,2015-03-01,N,UNION,"Sioux City, IA-NE-SD",Y,Y,Y
181582021,18158,2021,SD0640000,SD0640000,,N,N,,I,WALWORTH,WALWORTH CO SO SELBY,Walworth,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,1928,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,3,2,5,0,4,4,1.6,4.7,1991-01-01,1999-01-01,1999-01-01,2015-03-01,2022-02-01,2015-03-01,N,WALWORTH,Not Specified,Y,Y,Y
181592021,18159,2021,SD0640100,SD0640100,,N,N,,I,MOBRIDGE,MOBRIDGE PD,Mobridge,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,3364,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,1,9,0,7,7,2.4,4.8,1991-01-01,1999-01-01,1999-01-01,2015-03-01,2022-03-01,2015-03-01,N,WALWORTH,Not Specified,Y,Y,Y
181632021,18163,2021,SD0660000,SD0660000,,N,N,,I,YANKTON,YANKTON CO SO YANKTON,Yankton,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,County,7957,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,11,10,21,0,13,13,1.4,4.3,1991-01-01,1999-04-01,1999-04-01,2015-03-01,2022-03-01,2015-03-01,N,YANKTON,Not Specified,Y,Y,Y
181642021,18164,2021,SD0660100,SD0660100,,N,N,,I,YANKTON,YANKTON PD,Yankton,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,City,14669,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,25,3,28,5,6,11,2.0,2.7,1991-01-01,2007-10-01,2007-10-01,2015-03-01,2022-01-01,2015-03-01,N,YANKTON,Not Specified,Y,Y,Y
228512021,22851,2021,SD0329900,SD0329900,,N,N,,I,HIGHWAY PATROL,HIGHWAY PATROL,Highway Patrol,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,State Police,0,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,17,8E,Non-MSA State Police,8,Non-MSA Counties,N,17,,Y,172,52,224,18,35,53,0,0,1991-01-01,2012-11-01,2012-11-01,2015-03-01,2022-01-01,2015-03-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
272932021,27293,2021,SDDI01800,SDDI01800,,Y,N,,I,FLANDREAU SANTEE SIOUX TRIBAL,,Flandreau Santee Sioux Tribal,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,Tribal,0,32296,SDDI01800,Flandreau Santee Sioux Tribal,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,0,0,2020-12-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,2020-12-01,N,NOT SPECIFIED,Not Specified,Y,Y,Y
328112021,32811,2021,SD0510700,SD0510700,,N,N,,I,SOUTH DAKOTA SCHOOL OF MINES AND TECHNOLOGY,,South Dakota School of Mines and Technology,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,University or College,0,23391,SDUCR0001,South Dakota Statistical Analysis Center,Y,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,2,4,0,0,0,0,0,1991-01-01,2020-01-01,2020-01-01,2021-02-01,2022-01-01,2022-01-01,N,PENNINGTON,"Rapid City, SD",Y,Y,Y
328352021,32835,2021,SD013990X,SD013990X,,N,N,,I,UNIVERSITY OF SOUTH DAKOTA,,University of South Dakota,,A,46,South Dakota,SD,SD,4,West North Central,2,Midwest,Region II,University or College,0,23391,SDUCR0001,South Dakota Statistical Analysis Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,9,0,9,2,3,5,0,0,1991-01-01,2020-01-01,2020-01-01,2022-01-01,2022-01-01,2022-01-01,N,CLAY,Not Specified,Y,Y,Y
